
Values for A_in, B_in, SA and SA_in:
Clock Cycle |  	A	 |     B     |     X    | 	 X.Q	| (A+B)_prev = X.Q | Status |
---------------------------------------------------------------------------------------------------------
          1 | 0 0 0 0 | 0 0 0 1 | 0 0 0 0 1 | 0 0 0 0 1 | 0 = 1 | SA_in Error |
          2 | 1 0 0 1 | 0 1 1 1 | 0 0 0 0 0 | 0 0 0 0 1 | 1 = 1 | OK |
          3 | 0 1 1 1 | 1 1 0 0 | 0 0 0 1 1 | 0 0 0 0 0 | 0 = 0 | OK |
          4 | 1 0 1 1 | 1 1 1 1 | 1 1 0 1 0 | 0 0 0 1 1 | 3 = 3 | OK |
          5 | 0 0 0 1 | 1 0 1 0 | 1 1 0 1 1 | 1 1 0 1 0 | -6 = -6 | OK |
          6 | 0 0 1 1 | 0 0 0 1 | 0 0 1 0 0 | 1 1 0 1 1 | -5 = -5 | OK |
          7 | 0 1 0 0 | 0 0 0 1 | 0 0 1 0 1 | 0 0 1 0 0 | 4 = 4 | OK |
          8 | 0 0 0 0 | 1 0 0 0 | 1 1 0 0 0 | 0 0 1 0 1 | 5 = 5 | OK |
          9 | 0 1 0 1 | 0 0 0 0 | 0 0 1 0 1 | 1 1 0 0 0 | -8 = -8 | OK |
         10 | 0 0 1 1 | 0 1 0 1 | 0 1 0 0 0 | 0 0 1 0 1 | 5 = 5 | OK |
         11 | 0 0 0 1 | 0 1 0 0 | 0 0 1 0 1 | 0 1 0 0 0 | 8 = 8 | OK |
         12 | 0 0 0 1 | 1 0 0 0 | 1 1 0 0 1 | 0 0 1 0 1 | 5 = 5 | OK |
         13 | 1 1 0 1 | 1 0 1 0 | 1 0 1 1 1 | 1 1 0 0 1 | -7 = -7 | OK |
         14 | 0 0 1 0 | 1 1 1 1 | 0 0 0 0 1 | 1 0 1 1 1 | -9 = -9 | OK |
         15 | 1 1 0 0 | 1 1 1 0 | 1 1 0 1 0 | 0 0 0 0 1 | 1 = 1 | OK |
         16 | 1 0 0 0 | 0 1 0 1 | 1 1 1 0 1 | 1 1 0 1 0 | -6 = -6 | OK |
         17 | 1 1 0 1 | 0 0 1 1 | 0 0 0 0 0 | 1 1 1 0 1 | -3 = -3 | OK |
         18 | 1 0 0 1 | 1 0 1 1 | 1 0 1 0 0 | 0 0 0 0 0 | 0 = 0 | OK |
         19 | 1 0 0 1 | 1 0 0 1 | 1 0 0 1 0 | 1 0 1 0 0 | -12 = -12 | OK |
         20 | 0 1 1 0 | 0 1 0 1 | 0 1 0 1 1 | 1 0 0 1 0 | -14 = -14 | OK |
         21 | 1 0 1 1 | 0 0 1 1 | 1 1 1 1 0 | 0 1 0 1 1 | 11 = 11 | OK |
         22 | 1 0 0 0 | 1 0 1 1 | 1 0 0 1 1 | 1 1 1 1 0 | -2 = -2 | OK |
         23 | 0 0 1 0 | 0 1 0 1 | 0 0 1 1 1 | 1 0 0 1 1 | -13 = -13 | OK |
         24 | 0 1 0 0 | 0 1 0 1 | 0 1 0 0 1 | 0 0 1 1 1 | 7 = 7 | OK |
         25 | 0 1 1 1 | 1 1 0 1 | 0 0 1 0 0 | 0 1 0 0 1 | 9 = 9 | OK |
         26 | 0 0 0 1 | 1 1 0 0 | 1 1 1 0 1 | 0 0 1 0 0 | 4 = 4 | OK |
         27 | 0 0 1 1 | 0 1 1 0 | 0 1 0 0 1 | 1 1 1 0 1 | -3 = -3 | OK |
         28 | 1 0 0 0 | 0 1 1 0 | 1 1 1 1 0 | 0 1 0 0 1 | 9 = 9 | OK |
         29 | 1 0 1 1 | 1 1 0 1 | 1 1 0 0 0 | 1 1 1 1 0 | -2 = -2 | OK |
         30 | 1 1 1 1 | 0 0 0 1 | 0 0 0 0 0 | 1 1 0 0 0 | -8 = -8 | OK |
         31 | 1 0 1 0 | 1 1 1 0 | 1 1 0 0 0 | 0 0 0 0 0 | 0 = 0 | OK |
         32 | 1 1 1 1 | 0 1 1 0 | 0 0 1 0 1 | 1 1 0 0 0 | -8 = -8 | OK |
         33 | 1 0 1 1 | 1 0 0 0 | 1 0 0 1 1 | 0 0 1 0 1 | 5 = 5 | OK |
         34 | 0 0 1 0 | 0 0 1 0 | 0 0 1 0 0 | 1 0 0 1 1 | -13 = -13 | OK |
         35 | 0 0 0 0 | 0 0 1 0 | 0 0 0 1 0 | 0 0 1 0 0 | 4 = 4 | OK |
         36 | 0 1 0 0 | 0 0 0 1 | 0 0 1 0 1 | 0 0 0 1 0 | 2 = 2 | OK |
         37 | 0 0 1 0 | 1 0 1 1 | 1 1 1 0 1 | 0 0 1 0 1 | 5 = 5 | OK |
         38 | 1 0 1 1 | 1 1 1 0 | 1 1 0 0 1 | 1 1 1 0 1 | -3 = -3 | OK |
         39 | 1 0 1 1 | 0 1 0 0 | 1 1 1 1 1 | 1 1 0 0 1 | -7 = -7 | OK |
         40 | 0 0 1 1 | 0 1 1 1 | 0 1 0 1 0 | 1 1 1 1 1 | -1 = -1 | OK |
         41 | 0 0 0 0 | 1 0 1 1 | 1 1 0 1 1 | 0 1 0 1 0 | 10 = 10 | OK |
         42 | 0 1 0 0 | 0 0 0 0 | 0 0 1 0 0 | 1 1 0 1 1 | -5 = -5 | OK |
         43 | 1 0 1 0 | 1 0 0 0 | 1 0 0 1 0 | 0 0 1 0 0 | 4 = 4 | OK |
         44 | 0 0 0 1 | 0 1 0 1 | 0 0 1 1 0 | 1 0 0 1 0 | -14 = -14 | OK |
         45 | 0 1 1 0 | 1 0 1 0 | 0 0 0 0 0 | 0 0 1 1 0 | 6 = 6 | OK |
         46 | 1 1 0 0 | 1 0 1 0 | 1 0 1 1 0 | 0 0 0 0 0 | 0 = 0 | OK |
         47 | 1 0 0 0 | 0 0 1 1 | 1 1 0 1 1 | 1 0 1 1 0 | -10 = -10 | OK |
         48 | 1 1 1 1 | 1 1 0 0 | 1 1 0 1 1 | 1 1 0 1 1 | -5 = -5 | OK |
         49 | 0 0 0 0 | 0 1 0 1 | 0 0 1 0 1 | 1 1 0 1 1 | -5 = -5 | OK |
