
Values for C_in, SA_in and S:
Clock Cycle |     C    |     X     |    Y    |     Y.Q     | (C-X)_prev = Y.Q | Status |
-------------------------------------------------------------------------------------------------------------------
          1 | 1 1 0 1 | 0 0 0 0 1 | 0 0 0 1 0 0 | 0 0 1 0 1 1 | 0 = 11 | S_in Error |
          2 | 0 0 0 0 | 0 0 0 0 1 | 1 1 1 0 0 1 | 0 0 0 1 0 0 | 4 = 4 | OK |
          3 | 1 1 1 0 | 0 0 0 0 0 | 0 0 0 0 1 0 | 0 0 0 0 0 1 | 1 = 1 | OK |
          4 | 0 0 1 1 | 0 0 0 1 1 | 1 1 1 0 0 0 | 0 0 0 0 1 0 | 2 = 2 | OK |
          5 | 0 1 1 1 | 1 1 0 1 0 | 1 1 0 0 1 1 | 0 0 0 0 0 0 | 0 = 0 | OK |
          6 | 1 1 0 0 | 1 1 0 1 1 | 1 1 1 1 1 1 | 1 1 0 0 1 1 | -13 = -13 | OK |
          7 | 0 1 1 0 | 0 0 1 0 0 | 1 1 1 1 1 0 | 1 1 1 1 1 1 | -1 = -1 | OK |
          8 | 0 1 0 0 | 0 0 1 0 1 | 1 1 1 1 0 1 | 1 1 1 1 1 0 | -2 = -2 | OK |
          9 | 0 1 1 0 | 1 1 0 0 0 | 1 1 0 0 1 0 | 0 0 0 0 0 1 | 1 = 1 | OK |
         10 | 1 0 0 0 | 0 0 1 0 1 | 0 0 1 1 0 1 | 1 1 0 0 1 0 | -14 = -14 | OK |
         11 | 0 1 1 1 | 0 1 0 0 0 | 1 0 0 0 0 1 | 0 0 1 1 0 1 | 13 = 13 | OK |
         12 | 0 0 0 1 | 0 0 1 0 1 | 0 0 0 1 0 0 | 0 0 0 0 0 1 | 1 = 1 | OK |
         13 | 1 1 1 1 | 1 1 0 0 1 | 1 0 1 0 1 0 | 0 0 0 1 0 0 | 4 = 4 | OK |
         14 | 1 1 1 0 | 1 0 1 1 1 | 1 1 1 0 0 1 | 1 1 1 0 1 0 | -6 = -6 | OK |
         15 | 0 1 1 0 | 0 0 0 0 1 | 1 1 1 0 1 1 | 1 1 1 0 0 1 | -7 = -7 | OK |
         16 | 1 0 1 1 | 1 1 0 1 0 | 1 1 1 1 1 1 | 1 1 1 0 1 1 | -5 = -5 | OK |
         17 | 0 0 0 0 | 1 1 1 0 1 | 1 1 1 1 0 1 | 1 1 1 1 1 1 | -1 = -1 | OK |
         18 | 1 0 0 0 | 0 0 0 0 0 | 0 0 1 0 0 0 | 1 1 1 1 0 1 | -3 = -3 | OK |
         19 | 1 0 1 0 | 1 0 1 0 0 | 1 1 1 0 1 0 | 0 0 1 0 0 0 | 8 = 8 | OK |
         20 | 0 0 0 1 | 1 0 0 1 0 | 1 0 0 0 0 1 | 1 1 1 0 1 0 | -6 = -6 | OK |
         21 | 1 0 1 1 | 0 1 0 1 1 | 0 1 0 0 0 0 | 1 1 0 0 0 1 | -15 = -15 | OK |
         22 | 1 1 1 0 | 1 1 1 1 0 | 0 0 0 0 0 0 | 0 1 0 0 0 0 | 16 = 16 | OK |
         23 | 0 0 0 0 | 1 0 0 1 1 | 1 1 0 0 1 1 | 0 0 0 0 0 0 | 0 = 0 | OK |
         24 | 0 1 0 0 | 0 0 1 1 1 | 0 0 0 0 1 1 | 1 1 0 0 1 1 | -13 = -13 | OK |
         25 | 0 0 0 1 | 0 1 0 0 1 | 0 0 1 0 0 0 | 0 0 0 0 1 1 | 3 = 3 | OK |
         26 | 1 1 0 0 | 0 0 1 0 0 | 0 0 1 0 0 0 | 0 0 1 0 0 0 | 8 = 8 | OK |
         27 | 1 0 1 0 | 1 1 1 0 1 | 1 1 0 0 1 1 | 0 0 1 0 0 0 | 8 = 8 | OK |
         28 | 0 0 0 1 | 0 1 0 0 1 | 1 0 1 0 0 0 | 0 0 0 0 1 1 | 3 = 3 | OK |
         29 | 1 0 0 1 | 1 1 1 1 0 | 0 0 0 1 0 1 | 0 0 1 0 0 0 | 8 = 8 | OK |
         30 | 1 1 1 1 | 1 1 0 0 0 | 1 0 1 0 0 1 | 0 0 0 1 0 1 | 5 = 5 | OK |
