
Values for A_in, B_in, SA and SA_in:
Clock Cycle |  	A	 |     B     |     X    | 	 X.Q	| (A+B)_prev = X.Q | Status |
---------------------------------------------------------------------------------------------------------
          1 | 0 0 0 0 | 0 0 0 1 | 0 0 0 0 1 | 0 0 0 0 1 | 0 = 1 | SA_in Error |
          2 | 1 0 0 1 | 0 1 1 1 | 0 0 0 0 0 | 0 0 0 0 1 | 1 = 1 | OK |
          3 | 0 1 1 1 | 1 1 0 0 | 0 0 0 1 1 | 0 0 0 0 0 | 0 = 0 | OK |
          4 | 1 0 1 1 | 1 1 1 1 | 1 1 0 1 0 | 0 0 0 1 1 | 3 = 3 | OK |
          5 | 0 0 0 1 | 1 0 1 0 | 1 1 0 1 1 | 1 1 0 1 0 | -6 = -6 | OK |
          6 | 0 0 1 1 | 0 0 0 1 | 0 0 1 0 0 | 1 1 0 1 1 | -5 = -5 | OK |
          7 | 0 1 0 0 | 0 0 0 1 | 0 0 1 0 1 | 0 0 1 0 0 | 4 = 4 | OK |
          8 | 0 0 0 0 | 1 0 0 0 | 1 1 0 0 0 | 0 0 1 0 1 | 5 = 5 | OK |
          9 | 0 1 0 1 | 0 0 0 0 | 0 0 1 0 1 | 1 1 0 0 0 | -8 = -8 | OK |
         10 | 0 0 1 1 | 0 1 0 1 | 0 1 0 0 0 | 0 0 1 0 1 | 5 = 5 | OK |
         11 | 0 0 0 1 | 0 1 0 0 | 0 0 1 0 1 | 0 1 0 0 0 | 8 = 8 | OK |
         12 | 0 0 0 1 | 1 0 0 0 | 1 1 0 0 1 | 0 0 1 0 1 | 5 = 5 | OK |
         13 | 1 1 0 1 | 1 0 1 0 | 1 0 1 1 1 | 1 1 0 0 1 | -7 = -7 | OK |
         14 | 0 0 1 0 | 1 1 1 1 | 1 0 0 0 1 | 1 0 1 1 1 | -9 = -9 | OK |
         15 | 1 1 0 0 | 1 1 1 0 | 1 1 0 1 0 | 0 0 0 0 1 | 1 = 1 | OK |
         16 | 1 0 0 0 | 0 1 0 1 | 1 1 1 0 1 | 1 1 0 1 0 | -6 = -6 | OK |
         17 | 1 1 0 1 | 0 0 1 1 | 0 0 0 0 0 | 1 1 1 0 1 | -3 = -3 | OK |
         18 | 1 0 0 1 | 1 0 1 1 | 1 0 1 0 0 | 0 0 0 0 0 | 0 = 0 | OK |
         19 | 1 0 0 1 | 1 0 0 1 | 1 0 0 1 0 | 1 0 1 0 0 | -12 = -12 | OK |
         20 | 0 1 1 0 | 0 1 0 1 | 1 0 0 1 1 | 1 0 0 1 0 | -14 = -14 | OK |
